sim_id,strategy,topology,nodes,seed,load,policy_type,policy_param,placement_success,time_s
295,min-energy,star,20,42,0.5,degrade,0.4,0.0005555555555555,0.933
296,min-energy,star,20,42,0.5,degrade,0.5,0.0,1.005
297,min-energy,star,20,42,0.5,degrade,0.6,0.0005555555555555,0.948
298,min-energy,star,20,42,0.5,kill,0.01,0.1438888888888889,1.229
299,min-energy,star,20,42,0.5,kill,0.05,0.0522222222222222,1.121
300,min-energy,star,20,42,0.5,kill,0.1,0.0311111111111111,1.107
301,min-energy,star,20,3997,0.0,degrade,0.4,0.0027777777777777,0.875
302,min-energy,star,20,3997,0.0,degrade,0.5,0.0038888888888888,0.992
303,min-energy,star,20,3997,0.0,degrade,0.6,0.005,1.021
304,min-energy,star,20,3997,0.0,kill,0.01,0.1044444444444444,1.213
305,min-energy,star,20,3997,0.0,kill,0.05,0.1711111111111111,1.136
306,min-energy,star,20,3997,0.0,kill,0.1,0.0666666666666666,1.191
307,min-energy,star,20,3997,0.5,degrade,0.4,0.0027777777777777,0.934
308,min-energy,star,20,3997,0.5,degrade,0.5,0.0038888888888888,0.969
309,min-energy,star,20,3997,0.5,degrade,0.6,0.005,1.028
310,min-energy,star,20,3997,0.5,kill,0.01,0.1044444444444444,1.279
311,min-energy,star,20,3997,0.5,kill,0.05,0.0416666666666666,1.243
312,min-energy,star,20,3997,0.5,kill,0.1,0.0177777777777777,1.243
313,min-energy,star,50,42,0.0,degrade,0.4,0.0522222222222222,1.46
314,min-energy,star,50,42,0.0,degrade,0.5,0.0688888888888888,1.433
315,min-energy,star,50,42,0.0,degrade,0.6,0.0927777777777777,1.451
316,min-energy,star,50,42,0.0,kill,0.01,0.3327777777777778,1.794
317,min-energy,star,50,42,0.0,kill,0.05,0.3111111111111111,1.718
318,min-energy,star,50,42,0.0,kill,0.1,0.3383333333333333,1.824
319,min-energy,star,50,42,0.5,degrade,0.4,0.0011111111111111,1.626
320,min-energy,star,50,42,0.5,degrade,0.5,0.0005555555555555,1.621
321,min-energy,star,50,42,0.5,degrade,0.6,0.0016666666666666,1.817
322,min-energy,star,50,42,0.5,kill,0.01,0.03,2.243
323,min-energy,star,50,42,0.5,kill,0.05,0.0855555555555555,2.107
324,min-energy,star,50,42,0.5,kill,0.1,0.0755555555555555,2.055
325,min-energy,star,50,3997,0.0,degrade,0.4,0.0016666666666666,1.49
326,min-energy,star,50,3997,0.0,degrade,0.5,0.0022222222222222,1.68
327,min-energy,star,50,3997,0.0,degrade,0.6,0.0022222222222222,1.622
328,min-energy,star,50,3997,0.0,kill,0.01,0.5477777777777778,1.631
329,min-energy,star,50,3997,0.0,kill,0.05,0.3738888888888889,1.849
330,min-energy,star,50,3997,0.0,kill,0.1,0.2611111111111111,1.849
